Qual a sua área?,Você está empregado na área de tecnologia?,O que está buscando atualmente como emprego?,Está aberto a oportunidades de?,Modalidade de contratação:,Faixa de salário desejada?,Onde  procura emprego?,Já participou de entrevistas?,Recebe retorno das entrevistas?,Qual a sua maior dificuldade de procurar emprego?,Como faz para se preparar para entrevistas?,"Já fez algum mentoria de carreira , seja ela de empregabilidade, parte do bootcamp, individual, com algum coach?",Qual a sua formação?,Onde conseguiu o contato do seu emprego atual?,Media de entrevistas até conseguir a vaga?,De quem foi a iniciativa de abordagem?,Forma de contratação?,Como foi o processo de entrevista?,Você teve onboarding na empresa?,Você tem um PDI para seguir na empresa?,Faixa salarial?,"Aceita disponibilizar meus dados de forma anônima para a pesquisa ""Estado do Junior Tech de 2023"", não vamos disponibilizar nenhum dado de forma individual, apenas compilados de informações para comunidade."
Agilidade,Não,Transição de carreira (para profissão tech que escolheu),"Junior (Associado, Assistente)","CLT, PJ","A partir de 5000,00","Linkedin, Site de vagas de emprego/estagio",Sim,"Sim, com feedback","Quase todas são para Sênior e me parece que o mercado está em retração, com muita gente com experiência disponível.",Estudo a empresa e a descrição da vaga,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Sim,,,,,,,,,,,"Faculdade, Autodidata, Cursos livres avulsos (estilo Udemy)",Gupy,menos de 5,Busquei ativamente um a vaga,CLT,Tranquilo,Sim,Sim,"entre 3000,00 e 4000",sim
Desenvolvimento Backend,Sim,,,,,,,,,,,Curso Tecnico,Indeed,entre 5 e 10,Busquei ativamente um a vaga,CLT,Cansativo,Não,Não,"entre 3000,00 e 4000",sim
Desenvolvimento Frontend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Grupos Zap/Telegram / Discord, Amigos / Networking, Instagram / Facebook",Sim,"Sim, com feedback automatico",O mercado tá com alta demanda de gente pra poucas novas oportunidades pra quem tá começando ,Estudo os requisitos que tenho menor conhecimento comentado na descrição da vaga,Sim,,,,,,,,,,sim
Desenvolvimento Backend,Sim,,,,,,,,,,,Faculdade,"Networking / Amigos, Zap / Telegram",entre 30 e 60,Busquei ativamente um a vaga,PJ,"Algumas foram tranquilas, outras bem técnicas ",Sim,Não,"entre 1000,00 e 2000,00",sim
Desenvolvimento Backend,Não,"Primeiro Emprego, Transição de carreira (para profissão tech que escolheu)","Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Não,Não,Não recebo retorno,Nunca me chamaram para entrevista,Não,,,,,,,,,,sim
QA - Qualidade de Software,Sim,,,,,,,,,,,"Faculdade, Bootcamp",Linkedin,entre 10 e 30,Busquei ativamente um a vaga,CLT,Cansativo,Não,Não,"entre 1000,00 e 2000,00",sim
Desenvolvimento Backend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)",CLT,"entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Sim,"Sim, com feedback automatico",Triagem,Estudo sobre a empresa,Sim,,,,,,,,,,sim
Desenvolvimento Backend,Sim,,,,,,,,,,,"Faculdade, Autodidata, Bootcamp, Cursos livres avulsos (estilo Udemy)",Bootcamp,menos de 5,Fui abordado e fiz o processo seletivo,CLT,Tranquilo,Sim,Sim,"entre 2000,00 e 3000,00",sim
QA - Qualidade de Software,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)",CLT,"entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Não,"Sim, com feedback automatico",Não sou chamado para entrevistas. Menos de 5% dos currículos enviados geram qualquer tipo de retorno.,Pesquiso sobre a empresa. Pesquiso sobre os assuntos da minha área. Preparo uma automação com Selenium já dentro do site da empresa. Separo uma lista de perguntas a serem feitas.,Não,,,,,,,,,,sim
Desenvolvimento Backend,Sim,,,,,,,,,,,Faculdade,Networking / Amigos,entre 5 e 10,Busquei ativamente um a vaga,CLT,Cansativo,Sim,Sim,"entre 3000,00 e 4000",sim
Desenvolvimento Backend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Sim,"Sim, com feedback automatico",,,Não,,,,,,,,,,sim
Desenvolvimento Backend,Sim,,,,,,,,,,,"Faculdade, Autodidata, Cursos livres avulsos (estilo Udemy)",Infojobs,entre 5 e 10,Busquei ativamente um a vaga,CLT,Tranquilo,Sim,Não,"mais de 4000,00",sim
UX ( e suas variações),Sim,,,,,,,,,,,Cursos livres avulsos (estilo Udemy),Networking / Amigos,menos de 5,Busquei ativamente um a vaga,PJ,Tranquilo,Sim,Não,"mais de 4000,00",sim
QA - Qualidade de Software,Sim,,,,,,,,,,,"Faculdade, Cursos livres avulsos (estilo Udemy)",Linkedin,menos de 5,Busquei ativamente um a vaga,CLT,Tranquilo,Sim,Não,"entre 2000,00 e 3000,00",sim
Desenvolvimento Backend,Sim,,,,,,,,,,,"Autodidata, Cursos livres avulsos (estilo Udemy), Curso Tecnico",Linkedin,entre 10 e 30,Busquei ativamente um a vaga,CLT,Tranquilo,Sim,Não,"mais de 4000,00",sim
Desenvolvimento Backend,Sim,,,,,,,,,,,Faculdade,"Linkedin, Instagram",menos de 5,Busquei ativamente um a vaga,Estagio,Tranquilo,Sim,Não,"entre 1000,00 e 2000,00",sim
Desenvolvimento Frontend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","a partir de 3000,00","Linkedin, Google / Pesquisa, Site de vagas de emprego/estagio",Não,"Sim, com feedback automatico",Falta de experiência na área,"Nunca me chamaram para entrevista, apenas apliquei",Sim,,,,,,,,,,sim
Desenvolvimento Backend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ","entre R$ 1000,00 e R$ 2000,00","Linkedin, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Não,Não,Pelo fato de não ter experiência na área. ,,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Recolocacao apos um intercambio,"Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","a partir de 3000,00","Linkedin, Amigos / Networking, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",Vagas completamente aleatorias jogadas por portais como NetVagas. Falta de feedback em vagas da Gupy.,Estudo sobre a empresa e todos os requisitos da vaga.,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Trabalho como suporte e gostaria de seguir como dev,"Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Amigos / Networking, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",,,Não,,,,,,,,,,sim
Produtos,Não,Transição de carreira (para profissão tech que escolheu),"Junior (Associado, Assistente)","CLT, PJ","a partir de 3000,00","Linkedin, Grupos Zap/Telegram / Discord, Amigos / Networking",Sim,"Sim, com feedback automatico","Falta de experiência, poucas oportunidades nível junior, exigência de experiência em vagas junior",Estudo sobre a vaga e a empresa e treino minha apresentação pessoal ,Sim,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","Quero experiencia, nao estou de olho no salario","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",Ser selecionado para entrevista,"Estudo a empresa, a vaga e me preparo com minhas experiencias, analizando e tentando destacar algo que realmente faca a diferenca",Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,"Primeiro Emprego, Novo emprego (Demitido ainda em cargo de Junior)",Estagio,CLT,"entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Sim,"Sim, com feedback",Vagas remotas,Nada,Sim,,,,,,,,,,sim
Desenvolvimento Frontend,Sim,,,,,,,,,,,"Faculdade, Autodidata, Cursos livres avulsos (estilo Udemy)",Networking / Amigos,menos de 5,Fui abordado e fiz o processo seletivo,CLT,Tranquilo,Sim,Sim,"entre 3000,00 e 4000",sim
Produtos,Sim,,,,,,,,,,,"Faculdade, Bootcamp, Cursos livres avulsos (estilo Udemy)","Linkedin, Networking / Amigos, Empresa ",entre 5 e 10,Busquei ativamente um a vaga,CLT,Confuso,Sim,Sim,"entre 2000,00 e 3000,00",sim
Desenvolvimento Backend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)",CLT,"entre R$ 1000,00 e R$ 2000,00","Linkedin, Grupos Zap/Telegram / Discord, Amigos / Networking",Não,"Sim, com feedback automatico",,,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ","Abaixo de R$ 1000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Sim,Não,Passar do ponto de enviar o currículo pro ponto de fazer a entrevista,Nada,Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Novo emprego (Demitido ainda em cargo de Junior),"Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",,,Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Transição de carreira (para profissão tech que escolheu),Trainee,CLT,,"Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, indeed",Não,Não,"A maioria das vagas pedem experiência e muitas exigências, como posso ter experiencia sem ter oportunidades de adquirir experiência, tenho faculdade e conhecimentos na área de back end, mas nem me chamar para entrevistas chamam",Estudo,Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Sim,"Sim, com feedback automatico",,Estudo sobre a empresa e o que falar,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Sim,,,,,,,,,,,"Faculdade, Autodidata, Cursos livres avulsos (estilo Udemy)",Discord da SouJunior!,menos de 5,Busquei ativamente um a vaga,Autonomo / Freelancer,Tranquilo,Sim,Não,"entre 1000,00 e 2000,00",sim
UX ( e suas variações),Não,Transição de carreira (para profissão tech que escolheu),"Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","a partir de 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking",Não,Não,"Localização, procuro vaga 100% remota.",Faço pesquisa sobre empresa e procuro criar um storytelling. ,Sim,,,,,,,,,,sim
Desenvolvimento Frontend,Sim,,,,,,,,,,,Faculdade,Linkedin,entre 5 e 10,Busquei ativamente um a vaga,Estagio,Tranquilo,Sim,Sim,"Abaixo dos 1000,00",sim
Desenvolvimento Frontend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ","entre 2000,00 e 3000,00","Linkedin, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Não,Não,,,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Primeiro Emprego,"Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Sim,"Sim, com feedback automatico",Precisar de experiência pro primeiro emprego. ,Estudo sobre a empresa e mantenho minha skills sempre em dia,Sim,,,,,,,,,,sim
Desenvolvimento Backend,Não,"Primeiro Emprego, Novo emprego (Demitido ainda em cargo de Junior)","Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Sim,Não,"procurar não tenho dificuldade, a dificuldade é conseguir um",dou uma pesquisada sobre a empresa apenas,Não,,,,,,,,,,sim
Desenvolvimento Backend,Sim,,,,,,,,,,,Faculdade,Em grupo o whats,mais de 90 entrevistas,Busquei ativamente um a vaga,Estagio,Tranquilo,Não,Não,"entre 1000,00 e 2000,00",sim
"Dados - Ciencia, Analise, BI ou Engenharia",Sim,,,,,,,,,,,"Faculdade, Autodidata, Bootcamp","Linkedin, Networking / Amigos",menos de 5,Fui abordado e fiz o processo seletivo,CLT,Tranquilo,Sim,Sim,"mais de 4000,00",sim
QA - Qualidade de Software,Não,fiquei sem projetos desde dezembro do ano passado e busco uma oportunidade ,"Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Sim,"Sim, com feedback automatico","acredito que conseguir dar match com a empresa, ultimamente está cada vez mais difícil satisfazer os anseios das empresas, são muitos requisitos que não consigo atender.",estudo sobre o que sei e tento me acalmar,Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Novo emprego (Demitido ainda em cargo de Junior),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook, Outros sites de vagas e empresas locais na minha região",Sim,"Sim, com feedback automatico","Muitos, demais requisitos mesmo para uma vaga júnior se comparar com uma vaga de auxiliar e ou assistente administrativo ou de outra área, sem falar que muitas das vagas pedem conhecimentos até mesmo de outros cargos, funções e ou departamentos e empresas pedindo 2, 3 a 4 anos de experiência mesmo para uma posição de trainee e júnior querem experiência de pleno com salário inferior salvo média e grandes empresas, algumas empresas também estão pedindo inglês e até espanhol para vagas com salários muitos baixos. Mesmo cursando alguns cursos procurando sempre me aperfeiçoar não é o suficiente, outro problema algumas das vezes demandas passadas para júnior são para nível pleno e claro que terão dificuldades na entrega ninguém é perfeito mas isso soma para diminuir o profissional e a pessoa, e nesses casos a comunicação s funciona de cima para baixo, mesmo que procuramos auxílio para resolver a demanda principalmente de diretores e gerentes não somos escutados muitas das vezes entendem e pq não queremos mais continuar na empresa comparando com outro profissional que teve um problema muitas das vezes nem era semelhante. ","Pesquiso sobre, a empresa, sua história, o que ela busca no futuro e também relacionado as tecnologias por ela utilizadas, se possível sobre os recrutadores também para conhecer melhor o perfil.",Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Novo emprego (Demitido ainda em cargo de Junior),"Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","a partir de 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",Por ser Júnior e ainda minha experiência foi 1 ano e meio e também sou deficiente auditivo e pouca vagas pra PCD.,Eu sempre me preparo é modo automático que eu já tenho conhecimento e experiência e falo aquilo que é necessário para empresa ,Sim,,,,,,,,,,sim
Desenvolvimento Frontend,Sim,,,,,,,,,,,"Faculdade, Bootcamp",Indeed,entre 5 e 10,Busquei ativamente um a vaga,Estagio,Tranquilo,Não,Não,"entre 2000,00 e 3000,00",sim
"Dados - Ciencia, Analise, BI ou Engenharia",Não,Transição de carreira (para profissão tech que escolheu),"Trainee, Junior (Associado, Assistente)",CLT,"entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio, Instagram / Facebook",Sim,"Sim, com feedback automatico","Como percebo que na área de engenharia de dados normalmente querem alguma experiência ou certificação, fico muito insegura de me candidatar por não ter nenhum dos dois.","Estudo sobre a empresa, escrevo um roteiro para não me perder já que normalmente as entrevistas são virtuais.",Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","Abaixo de R$ 1000,00","Linkedin, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio, Instagram / Facebook",Não,"Sim, com feedback automatico",,"Estudo a empresa, a cultura e os valores. Tento entender o que a empresa precisa",Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Novo emprego (Demitido ainda em cargo de Junior),"Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Grupos Zap/Telegram / Discord, Amigos / Networking",Sim,"Sim, com feedback automatico",Conseguir entrevistas,Estuda a empresa e sua historia e um monto uma timeline com experiências que deem match com a empresa,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,"Fui demitida da minha experiência anterior como estagiária em Suporte Técnico, atualmente estou desempregada buscando uma nova oportunidade no mercado de TI. ","Estagio, Trainee, Junior (Associado, Assistente)",CLT,"a partir de 3000,00","Linkedin, Amigos / Networking, Site de vagas de emprego/estagio",Sim,"Sim, com feedback",O tempo de experiência na qual é exigido nas vagas de nível júnior e a quantidade absurda de stacks que um Dev Jr precisa ter conhecimento. ,Treinando perguntas frequentes de entrevista de estágio/trainee/emprego em voz alta em frente ao espelho e ler a história da empresa ao qual estou me candidatando. ,Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Amigos / Networking, Site de vagas de emprego/estagio",Não,,"Não ter experiência na área e muito provavelmente, minha idade",Treinando testes técnicos,Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Site de vagas de emprego/estagio",Não,Não,"Falta de oportunidades e muitos requisitos em vagas para júnior, assim como a falta de vagas para estagio. ",Pesquiso sobre a empresa e seus valores.,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Não,"Sim, com feedback automatico",Atender todas demandas das vagas. Aparentemente para um estagiário está sendo solicitado que tenha conhecimentos além do padrão da faculdade.,Mantenho meus estudos em dias. Leio artigos sobre dicas de comportamento e acompanho vídeos de entrevistas reais. ,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Sim,,,,,,,,,,,Bootcamp,Networking / Amigos,menos de 5,Fui abordado e fiz o processo seletivo,CLT,Tranquilo,Sim,Não,"entre 3000,00 e 4000",sim
Desenvolvimento Frontend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00",Linkedin,Sim,"Sim, com feedback","Achar vagas que aceitem pessoas sem experiências, que estão inicializando ",Vejo oq a empresa busca e oq ela emprega no mercado.,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer",Qualquer um só quero me inserir no mercado tech,"Linkedin, Grupos Zap/Telegram / Discord",Sim,"Sim, com feedback automatico",Conseguir alguma vaga em alguma empresa e as plataformas automáticas de algoritmos (gupy),"Pesquiso a empresa, sobre a vaga e dou o melhor de mim",Sim,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Transição de carreira (para profissão tech que escolheu),"Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio",Não,Não,Expor meus conhecimentos em plataformas on-line ,Estudo vídeos no YouTube ,Sim,,,,,,,,,,sim
UX ( e suas variações),Não,"Primeiro Emprego, Transição de carreira (para profissão tech que escolheu)","Junior (Associado, Assistente)","CLT, PJ","a partir de 3000,00","Linkedin, Google / Pesquisa",Sim,"Sim, com feedback automatico",Não experiência voltada  exclusivamente pro UX.,"Pesquisas, treino as falas, reviso conteúdo",Não,,,,,,,,,,sim
"Dados - Ciencia, Analise, BI ou Engenharia",Não,"Primeiro Emprego, Transição de carreira (para profissão tech que escolheu)","Estagio, Junior (Associado, Assistente)","CLT, Autonomo / Freelancer","Abaixo de R$ 1000,00","Linkedin, Amigos / Networking, Site de vagas de emprego/estagio",Não,Não,"Um lugar para procurar emprego, e também oportunidades para meu nível",tento estudar o que é proposto para a vaga e tirar um pouco do nervosismo,Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Novo emprego (Demitido ainda em cargo de Junior),"Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","a partir de 3000,00","Linkedin, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Não,Não,Foco.,Estudo a oportunidade e a empresa.,Não,,,,,,,,,,sim
Agilidade,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ","entre 2000,00 e 3000,00","Linkedin, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio",Não,Não,Dificuldade de me posicionar como profissional ,Estudo com vídeos e dicas da internet ,Sim,,,,,,,,,,sim
UX ( e suas variações),Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ","entre R$ 1000,00 e R$ 2000,00","Linkedin, Site de vagas de emprego/estagio",Não,Não,Me aplico para muitas vagas mas não estou recebendo quase nenhum retorno.,,Sim,,,,,,,,,,sim
Produtos,Sim,,,,,,,,,,,"Faculdade, Cursos livres avulsos (estilo Udemy)",Networking / Amigos,menos de 5,Busquei ativamente um a vaga,Jovem aprendiz,Tranquilo,Sim,Sim,"entre 1000,00 e 2000,00",sim
Desenvolvimento Frontend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Sim,"Sim, com feedback automatico",,,Sim,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Não,"Sim, com feedback automatico",Acredito que a falta de experiência e especialização,"Ainda não fiz nenhuma, mas geralemente estudo o que a empresa busca e em quais pontos eu posso ser útil para ela.",Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Não,"Sim, com feedback automatico",,,Não,,,,,,,,,,sim
QA - Qualidade de Software,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Junior (Associado, Assistente)","PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Não,Não,"Não possuo feedback das candidaturas, então não sei ao certo o que está dificultando. ",Até o momento não tive entrevistas. ,Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Novo emprego (Demitido ainda em cargo de Junior),"Trainee, Junior (Associado, Assistente)","CLT, PJ","a partir de 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Sim,"Sim, com feedback automatico",A sensação é de que há muito mais gente procurando emprego do que vagas disponíveis. ,Pesquisando a empresa e treinando oratória. ,Sim,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)",CLT,"Acima de 1500,00","Linkedin, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio",Não,,"Acho que é passar pelo bot dos currículos. QUANDO recebo algum feedback é aquela msg automática em que o ""não foi dessa vez"" tem tanto texto que parece uma desculpa
Infelizmente não dizem porque não passei para a próxima fase.
Os outros 97% que não mandam feedback (nem automático) minha candidatura esta lá, num limbo nos sites de vagas",Assisto videos,Não,,,,,,,,,,sim
Desenvolvimento Mobile,Não,"Transição de carreira (para profissão tech que escolheu), Novo emprego (Demitido ainda em cargo de Junior)","Trainee, Junior (Associado, Assistente)",CLT,"a partir de 3000,00","Linkedin, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio",Sim,Não,Ser chamada para as entrevistas. No começo achava que a falta de uma faculdade na área era motivo mas agora percebo que é conseguir mostrar que tenho experiência.,"Estudo a empresa e monto minha apresentação pessoal, com base no que acho que está por vir",Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Transição de carreira (para profissão tech que escolheu),"Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00",Linkedin,Não,Não,"Não chamam para entrevistas, já enviei vários currículos. ","Me mantenho calma, faço uma breve entrevista com o meu mentor.",Sim,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Novo emprego (Demitido em cargo de estagiário),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Não,"Sim, com feedback automatico",Encontrar a vaga de acordo com minhas capacidades,"Pesquisando sobre a entrevista técnica, como também, sobre a entrevista com os recrutadores, referente a que tipo de soft skills serão necessárias para isso.",Não,,,,,,,,,,sim
UX ( e suas variações),Não,Transição de carreira (para profissão tech que escolheu),"Junior (Associado, Assistente)","CLT, PJ","entre 2000,00 e 3000,00","Linkedin, Grupos Zap/Telegram / Discord",Não,Não,Quando pedem experiências,Estudo sobre a empresa,Não,,,,,,,,,,sim
